org,verdict,blocks,self_blocks,ext_blocks,srcs,months,nums,w_before,w_fail,w_actor,dual,own_channel,channels,examples
AIF PMI,THIN,2,0,2,1,1,8,0,2,1,0,0,Intel:2,transcripts/channels/Intel/AI_Industrialization_The_Next_Frontier_for_Global_Enterprise__fSadUMtpwcY.md@2000|transcripts/channels/Intel/AI_Industrialization_The_Next_Frontier_for_Global_Enterprise__fSadUMtpwcY.md@3000
Lunar,THIN,2,0,2,1,1,17,0,0,2,0,0,Intel:2,transcripts/channels/Intel/Intel_Keynote_AI_Inside_for_a_New_Era_Intel__8z9o2ltnFM0.md@9000|transcripts/channels/Intel/Intel_Keynote_AI_Inside_for_a_New_Era_Intel__8z9o2ltnFM0.md@10000
Jules,THIN,2,0,2,1,1,5,0,0,0,0,0,Google Developers:2,transcripts/channels/Google_Developers/Rewinding_back_to_our_favorites_launches_from_2025_-_Google___lT3YDLqllVI.md@0|transcripts/channels/Google_Developers/Rewinding_back_to_our_favorites_launches_from_2025_-_Google___lT3YDLqllVI.md@1000
Nano Banana,THIN,2,0,2,1,1,5,0,0,0,0,0,Google Developers:2,transcripts/channels/Google_Developers/Rewinding_back_to_our_favorites_launches_from_2025_-_Google___lT3YDLqllVI.md@0|transcripts/channels/Google_Developers/Rewinding_back_to_our_favorites_launches_from_2025_-_Google___lT3YDLqllVI.md@1000
Lighter,THIN,2,0,2,1,1,4,0,0,0,0,0,Google Developers:2,transcripts/channels/Google_Developers/Bring_the_power_of_on-device_AI_to_life_with_Google_AI_Edge___boy-UjB8hpA.md@11000|transcripts/channels/Google_Developers/Bring_the_power_of_on-device_AI_to_life_with_Google_AI_Edge___boy-UjB8hpA.md@12000
VLM,THIN,2,0,2,1,1,13,2,0,0,0,0,NVIDIA Developer:2,transcripts/channels/NVIDIA_Developer/A_New_Era_for_Generalist_Robotics_The_Rise_of_Humanoids_NVID__BmD22FNOAY4.md@27000|transcripts/channels/NVIDIA_Developer/A_New_Era_for_Generalist_Robotics_The_Rise_of_Humanoids_NVID__BmD22FNOAY4.md@28000
Telenor,THIN,2,2,0,1,1,7,1,0,0,1,1,Telenor:2,transcripts/channels/Telenor/Telco_Tech_Talks_Why_is_Amazon_so_successful__u-hbE8vRNw8.md@3000|transcripts/channels/Telenor/Telco_Tech_Talks_Why_is_Amazon_so_successful__u-hbE8vRNw8.md@4000
Master Code Program,THIN,2,0,2,1,1,6,2,1,2,0,0,GitHub:2,transcripts/channels/GitHub/The_history_of_C#_and_TypeScript_with_Anders_Hejlsberg_GitHu__uMqx8NNT4xY.md@13000|transcripts/channels/GitHub/The_history_of_C#_and_TypeScript_with_Anders_Hejlsberg_GitHu__uMqx8NNT4xY.md@14000
Zuk,THIN,2,0,2,1,1,8,2,0,0,1,0,Zoox:2,transcripts/channels/Zoox/10_Years_of_Zoox._Reflections_and_Predictions.__DYcujjMs3Uo.md@12000|transcripts/channels/Zoox/10_Years_of_Zoox._Reflections_and_Predictions.__DYcujjMs3Uo.md@13000
Zoox,THIN,2,2,0,1,1,6,2,0,1,0,1,Zoox:2,transcripts/channels/Zoox/Inside_The_Ride_Scaling_Zoox_Episode_One__6srqKuBN0NE.md@12000|transcripts/channels/Zoox/Inside_The_Ride_Scaling_Zoox_Episode_One__6srqKuBN0NE.md@13000
Time Savings,THIN,2,0,2,1,1,4,2,0,2,0,0,Palantir:2,transcripts/channels/Palantir/Classifying_Data_with_LLMs_Aramark_at_AIPCon_5__GFYdOaaqAGw.md@3000|transcripts/channels/Palantir/Classifying_Data_with_LLMs_Aramark_at_AIPCon_5__GFYdOaaqAGw.md@4000
Cougars,THIN,2,0,2,1,1,5,0,0,1,0,0,Scale AI:2,transcripts/channels/Scale_AI/AI_for_Manufacturing_Full_panel_hosted_by_Scale_AI_#ADMexpo___KN743U1UrNU.md@6000|transcripts/channels/Scale_AI/AI_for_Manufacturing_Full_panel_hosted_by_Scale_AI_#ADMexpo___KN743U1UrNU.md@7000
TIA,THIN,2,0,2,1,1,8,2,1,2,0,0,Siemens:2,transcripts/channels/Siemens/Industrial_AI_in_Action_Roland_Busch_Keynote_VivaTech_2026_P__AvSNxD9GQH4.md@3000|transcripts/channels/Siemens/Industrial_AI_in_Action_Roland_Busch_Keynote_VivaTech_2026_P__AvSNxD9GQH4.md@4000
CSD,THIN,2,0,2,1,1,2,0,0,2,0,0,Weaviate:2,transcripts/channels/Weaviate/Pyversity_with_Thomas_van_Dongen_-_Weaviate_Podcast_#132!__L2N1qvfP7tg.md@29000|transcripts/channels/Weaviate/Pyversity_with_Thomas_van_Dongen_-_Weaviate_Podcast_#132!__L2N1qvfP7tg.md@30000
DSP,THIN,2,0,2,1,1,5,0,0,1,0,0,Weaviate:2,transcripts/channels/Weaviate/DSPy_End-to-End_Meetup_in_San_Francisco__Y81DoFmt-2U.md@38000|transcripts/channels/Weaviate/DSPy_End-to-End_Meetup_in_San_Francisco__Y81DoFmt-2U.md@39000
Lab,THIN,2,0,2,1,1,14,1,0,2,0,0,Pinecone:2,transcripts/channels/Pinecone/RAG_Brag_with_Kap_Sharma_of_Wipro__i_EOgO7W-jM.md@0|transcripts/channels/Pinecone/RAG_Brag_with_Kap_Sharma_of_Wipro__i_EOgO7W-jM.md@2000
CHRO,THIN,2,0,2,1,1,3,2,0,2,0,0,McKinsey & Company:2,transcripts/channels/McKinsey_&_Company/The_Rise_of_the_Human–AI_Workforce__pt7pbl7Jhhg.md@2000|transcripts/channels/McKinsey_&_Company/The_Rise_of_the_Human–AI_Workforce__pt7pbl7Jhhg.md@3000
ATP CTP,THIN,2,0,2,1,1,14,2,0,0,0,0,McKinsey & Company:2,transcripts/channels/McKinsey_&_Company/Powering_Supply_Chain_With_Agentic_AI__GJyp5SJNjyo.md@3000|transcripts/channels/McKinsey_&_Company/Powering_Supply_Chain_With_Agentic_AI__GJyp5SJNjyo.md@4000
GBS,THIN,2,0,2,1,1,2,2,0,0,1,0,McKinsey & Company:2,transcripts/channels/McKinsey_&_Company/Agentic_AI_and_the_future_of_Global_Business_Services__LuHGabkzlGU.md@1000|transcripts/channels/McKinsey_&_Company/Agentic_AI_and_the_future_of_Global_Business_Services__LuHGabkzlGU.md@2000
NAI,THIN,2,0,2,1,1,15,0,1,2,0,0,McKinsey & Company:2,transcripts/channels/McKinsey_&_Company/Unlocking_hidden_value_with_process_intelligence_in_healthca__yoWyJnej0Iw.md@9000|transcripts/channels/McKinsey_&_Company/Unlocking_hidden_value_with_process_intelligence_in_healthca__yoWyJnej0Iw.md@10000
Economist Impact,THIN,2,0,2,1,1,12,1,0,2,0,0,Infosys:2,transcripts/channels/Infosys/The_Boardroom_Mandate_Scaling_AI_for_Business_Impact_Davos_2__0ixUiXr2DVY.md@4000|transcripts/channels/Infosys/The_Boardroom_Mandate_Scaling_AI_for_Business_Impact_Davos_2__0ixUiXr2DVY.md@5000
Perplexity,THIN,2,0,2,1,1,5,0,0,1,0,0,Infosys:2,"transcripts/channels/Infosys/The_Future_of_Customer_Experience_-_Creativity,_Trust_&_Tech__taeDyZI86h8.md@7000|transcripts/channels/Infosys/The_Future_of_Customer_Experience_-_Creativity,_Trust_&_Tech__taeDyZI86h8.md@8000"
OCM,THIN,2,0,2,1,1,6,1,0,1,0,0,KW:2026-07-26:2,transcripts/2026-07-26/AI_for_AI_Building_the_Transformation_Office_That_Drives_Ent__OJwpw-8SkBM.md@25000|transcripts/2026-07-26/AI_for_AI_Building_the_Transformation_Office_That_Drives_Ent__OJwpw-8SkBM.md@26000
SCM,THIN,2,0,2,1,1,4,2,0,0,0,0,KW:2026-07-26:2,transcripts/2026-07-26/AI-Native_기업으로_전환_전략과_사례__Y-ApGj-9ceI.md@3000|transcripts/2026-07-26/AI-Native_기업으로_전환_전략과_사례__Y-ApGj-9ceI.md@4000
CDO,THIN,2,0,2,1,1,5,0,0,2,0,0,KW:2026-07-18:2,"transcripts/2026-07-18/Webinar_AI_transformation_that_works,_lessons_from_the_trenc__PL3OWn143AI.md@22000|transcripts/2026-07-18/Webinar_AI_transformation_that_works,_lessons_from_the_trenc__PL3OWn143AI.md@23000"
PMO,THIN,2,0,2,1,1,13,0,0,1,1,0,KW:2026-07-18:2,transcripts/2026-07-18/26_Years_of_Survival_Keyword_AX_(Great_AI_Transformation)_We__VRYJJJBqsDE.md@6000|transcripts/2026-07-18/26_Years_of_Survival_Keyword_AX_(Great_AI_Transformation)_We__VRYJJJBqsDE.md@7000
AIC,THIN,2,0,2,1,1,2,2,1,0,2,0,KW:2026-07-18:2,transcripts/2026-07-18/26_Years_of_Survival_Keyword_AX_(Great_AI_Transformation)_We__VRYJJJBqsDE.md@10000|transcripts/2026-07-18/26_Years_of_Survival_Keyword_AX_(Great_AI_Transformation)_We__VRYJJJBqsDE.md@11000
